icao_address,mictronics_reg,adsbx_reg
3532C2,T.23-04,T23-04
359209,HU.21-07,HU21-07
3593C8,HE.26-20,HE26-20
4402B9,OE-INC,OE-LOA
71002E,HZ-A42,HZ-SKY
71C566,21-001,HL8566
881B71,B.L18-2/59,BL18-2/59
34158A,T.21-05,T21-05
34308C,TK.10-12,TK10-12
359412,HE.26-27,HE26-27
4058E3,G-DAXA,G-ROYM
4D204D,9H-MIM,9H-UNA
899015,B-18811,B-18701
3571C2,E.27-02,E27-02
AE51A5,11-20345,10-20345
341581,T.21-03,T21-03
3543C5,HD.21-16,HD21-16
355290,CE.16-10,CE16-10
3571C6,E.27-06,E27-06
440300,OE-ILS,OE-GMA
4D021E,LX-AAA,LX-FLY
4D215A,9H-CHL,9H-CBB
4D216F,9H-ORNET,9H-GIO
7821A3,B-72G3,B-32G3
881B70,B.L18-1/59,BL18-1/59
881BC5,B.F21-7/63,BF21-7/63
8990F7,B-16866,B-16829
0B4033,TG-COH,TG-CCH
34308A,T.10-10,T10-10
3571C7,E.27-07,E27-07
E49DA4,FAB8821,8821
C0007D,C-FAEU,C-AEU
C030D9,C-FSMY,C-SMY
C00014,C-FAAT,C-AAT
C00083,C-FAFA,C-AFA
C000B7,C-FAHA,C-AHA
C000D2,C-FAIB,C-AIB
C0010B,C-FAKG,C-AKG
C002C0,C-FBBB,C-BBB
C00313,C-FBEG,C-BEG
C0031F,C-FBES,C-BES
C00351,C-FBGQ,C-BGQ
C0037F,C-FBIK,C-BIK
C00495,C-FBTC,C-BTC
C00769,C-FCUY,C-CUY
C0084F,C-FDDU,C-DDU
C0099E,C-FDQR,C-DQR
C009F1,C-FDTW,C-DTW
C00A34,C-FDWL,C-DWL
C00A7E,C-FDZH,C-DZH
C00B18,C-FEFF,C-EFF
C00BE2,C-FEMZ,C-EMZ
C00C4E,C-FERD,C-ERD
C00DFC,C-FFHR,C-FHR
C00E04,C-FFHZ,C-FHZ
C01059,C-FGEY,C-GEY
C01179,C-FGQA,C-GQA
C011F0,C-FGUP,C-GUP
C011F1,C-FGUQ,C-GUQ
C01212,C-FGVX,C-GVX
C01222,C-FGWN,C-GWN
C0132A,C-FHGR,C-HGR
C0143F,C-FHRI,C-HRI
C01517,C-FHZQ,C-HZQ
C015EE,C-FIHX,C-IHX
C019BF,C-FJTM,C-JTM
C01B0C,C-FKGH,C-KGH
C01C79,C-FKUI,C-KUI
C01D15,CF-LAI,C-LAI
C01D78,C-FLED,C-LED
C020A3,C-FMJI,C-MJI
C02123,C-FMOG,C-MOG
C02247,C-FMZM,C-MZM
C023DE,C-FNPD,C-NPD
C0247B,C-FNVE,C-NVE
C026CA,C-FORX,C-ORX
C0279F,C-FPAC,C-PAC
C0291F,C-FPOW,C-POW
C02931,C-FPPO,C-PPO
C02984,C-FPST,C-PST
C02A1E,C-FPYR,C-PYR
C02AB2,C-FQEJ,C-QEJ
C02B16,C-FQIF,C-QIF
C02B27,C-FQIW,C-QIW
C02B76,C-FQLX,C-QLX
C02D84,C-FRGD,C-RGD
C02DFD,C-FRKU,C-RKU
C02ECB,C-FRSS,C-RSS
C02F33,C-FRWS,C-RWS
C030FC,C-FSOH,C-SOH
C03129,C-FSQA,C-SQA
C0316B,C-FSSO,C-SSO
C03175,C-FSSY,C-SSY
C03456,C-FTVH,C-TVH
C03610,C-FUMH,C-UMH
C03678,C-FUQH,C-UQH
C036C6,C-FUTH,C-UTH
C037F8,C-FVFB,C-VFB
C038DC,C-FVNV,C-VNV
C0392A,C-FVQV,C-VQV
C039F8,C-FVYT,C-VYT
C03AAE,C-FWFT,C-WFT
C03BE1,C-FWRO,C-WRO
C03BEC,C-FWRZ,C-WRZ
C03C55,C-FWWA,C-WWA
C03D48,C-FXFJ,C-XFJ
C03D4A,C-FXFL,C-XFL
C03F09,C-FXWQ,C-XWQ
C04199,C-FYVW,C-YVW
C0419A,C-FYVX,C-YVX
C0420C,C-FZAH,C-ZAH
C04333,C-FZLQ,C-ZLQ
C043A3,C-FZPY,C-ZPY
C0022A,C-FAVH,C-AVH
C0027F,C-FAYO,C-AYO
C0038E,C-FBIZ,C-BIZ
C00428,C-FBOX,C-BOX
C00468,C-FBRJ,C-BRJ
C00653,C-FCKG,C-CKG
C00702,C-FCQZ,C-CQZ
C0079D,C-FCWY,C-CWY
C008D1,C-FDIU,C-DIU
C00AE2,C-FEDD,C-EDD
C00E85,C-FFMY,C-FMY
C00F0C,C-FFSD,C-FSD
C010AB,C-FGIC,C-GIC
C0116C,C-FGPN,C-GPN
C011AA,C-FGRX,C-GRX
C011E9,C-FGUI,C-GUI
C011EE,C-FGUN,C-GUN
C013A7,C-FHLM,C-HLM
C013AE,C-FHLT,C-HLT
C013B9,C-FHME,C-HME
C013FD,C-FHOU,C-HOU
C01497,C-FHUS,C-HUS
C01507,C-FHZA,C-HZA
C018A8,C-FJIT,C-JIT
C01CE1,C-FKYI,C-KYI
C01D7A,C-FLEF,C-LEF
C01E41,C-FLLW,C-LLW
C01F4E,C-FLWF,C-LWF
C020F2,C-FMMJ,C-MMJ
C0224A,C-FMZP,C-MZP
C02256,C-FNAB,C-NAB
C0236F,C-FNKW,C-NKW
C02457,C-FNTU,C-NTU
C02B52,C-FQKN,C-QKN
C02C7F,C-FQWC,C-QWC
C02D6C,C-FRFF,C-RFF
C02E53,C-FROC,C-ROC
C02ED7,C-FRTE,C-RTE
C0325A,C-FTBT,C-TBT
C034AC,C-FTYP,C-TYP
C034DF,C-FUAO,C-UAO
C03651,C-FUOU,C-UOU
C03662,C-FUPL,C-UPL
C038CF,C-FVNI,C-VNI
C03915,C-FVQA,C-VQA
C03A9E,C-FWFD,C-WFD
C03B79,C-FWNO,C-WNO
C03C8F,C-FWYG,C-WYG
C03CDA,C-FXBD,C-XBD
C03DDC,C-FXLB,C-XLB
C03E71,C-FXQU,C-XQU
C03E90,C-FXRZ,C-XRZ
C03F11,C-FXWY,C-XWY
C03F24,C-FXXR,C-XXR
C03F31,C-FXYE,C-XYE
C0419C,C-FYVZ,C-YVZ
C041D4,C-FYYD,C-YYD
C0427F,C-FZES,C-ZES
C04392,C-FZPH,C-ZPH
C043B0,C-FZQL,C-ZQL
C000EE,C-FAJD,C-AJD
C00187,C-FAPA,C-APA
C00294,C-FAZJ,C-AZJ
C00498,C-FBTF,C-BTF
C0049C,C-FBTJ,C-BTJ
C0050F,C-FBXU,C-BXU
C0057B,C-FCBY,C-CBY
C0066D,C-FCLG,C-CLG
C008E9,C-FDJS,C-DJS
C00909,C-FDKY,C-DKY
C00AA6,C-FEAV,C-EAV
C00AAB,C-FEBA,C-EBA
C00C3A,C-FEQJ,C-EQJ
C00C87,C-FETI,C-ETI
C00E3A,C-FFKB,C-FKB
C00E7E,C-FFMR,C-FMR
C00EFB,C-FFRM,C-FRM
C010C1,C-FGIY,C-GIY
C01173,C-FGPU,C-GPU
C011C6,C-FGSZ,C-GSZ
C0121D,C-FGWI,C-GWI
C01339,C-FHHG,C-HHG
C01454,C-FHSD,C-HSD
C014D8,C-FHXF,C-HXF
C015D6,C-FIGZ,C-IGZ
C015FE,C-FIIN,C-IIN
C017CB,C-FJAG,C-JAG
C0192F,C-FJNY,C-JNY
C01A68,C-FJZZ,C-JZZ
C01AAD,C-FKCQ,C-KCQ
C01BB6,C-FKMV,C-KMV
C01C58,C-FKTB,C-KTB
C01DEC,C-FLIP,C-LIP
C01F32,C-FLVD,C-LVD
C01F3F,C-FLVQ,C-LVQ
C020CC,C-FMKX,C-MKX
C020D6,C-FMLH,C-MLH
C02278,C-FNBJ,C-NBJ
C022ED,C-FNFW,C-NFW
C02350,C-FNJR,C-NJR
C02364,C-FNKL,C-NKL
C0245C,C-FNTZ,C-NTZ
C0276B,C-FOYC,C-OYC
C02934,C-FPPR,C-PPR
C029B4,C-FPUP,C-PUP
C02AE8,C-FQGL,C-QGL
C02BA0,C-FQNN,C-QNN
C02D58,C-FREL,C-REL
C03070,C-FSIX,C-SIX
C030CE,C-FSMN,C-SMN
C031AF,C-FSVE,C-SVE
C03259,C-FTBS,C-TBS
C033F1,C-FTRK,C-TRK
C035E4,C-FUKP,C-UKP
C0367D,C-FUQM,C-UQM
C03896,C-FVLD,C-VLD
C039E1,C-FVXW,C-VXW
C03ABB,C-FWGG,C-WGG
C03B68,C-FWMX,C-WMX
C03CDB,C-FXBE,C-XBE
C03D08,C-FXCX,C-XCX
C03D1E,C-FXDT,C-XDT
C0409D,C-FYME,C-YME
C0417D,C-FYUU,C-YUU
C04188,C-FYVF,C-YVF
C04197,C-FYVU,C-YVU
C041DC,C-FYYL,C-YYL
C04214,C-FZAP,C-ZAP
C042B3,C-FZGS,C-ZGS
C04372,C-FZOB,C-ZOB
C0437B,C-FZOK,C-ZOK
C04399,C-FZPO,C-ZPO
C003C9,C-FBLG,C-BLG
C007A5,C-FCXG,C-CXG
C00813,C-FDBM,C-DBM
C00939,C-FDMU,C-DMU
C00978,C-FDPF,C-DPF
C00A4C,C-FDXJ,C-DXJ
C00A84,C-FDZN,C-DZN
C00CD5,C-FEWI,C-EWI
C00D0B,C-FEYK,C-EYK
C00DE7,C-FFGW,C-FGW
C01394,C-FHKT,C-HKT
C014B8,C-FHVZ,C-HVZ
C015EA,C-FIHT,C-IHT
C01600,C-FIIP,C-IIP
