icao_address,mictronics_reg,adsbx_reg
C004FC,C-FBXB,C-BXB
C0066B,C-FCLE,C-CLE
C00678,C-FCLR,C-CLR
C006F5,C-FCQM,C-CQM
C00761,C-FCUQ,C-CUQ
C00811,C-FDBK,C-DBK
C0097C,C-FDPJ,C-DPJ
C00A09,C-FDUU,C-DUU
C00A5E,C-FDYB,C-DYB
C00AC7,C-FECC,C-ECC
C00AFF,C-FEEG,C-EEG
C00B3D,C-FEGQ,C-EGQ
C00BA9,C-FEKU,C-EKU
C00BB6,C-FELH,C-ELH
C00D9C,C-FFDZ,C-FDZ
C010FF,CF-GLI,C-FGLI
C00EE9,C-FFQU,C-FQU
C00FBB,C-FFYW,C-FYW
C0506B,C0506B,C-GELU
C050AE,C050AE,C-GEOJ
C010AF,C-FGIG,C-GIG
C010B2,C-FGIJ,C-GIJ
C010E5,C-FGKI,C-GKI
C011EA,C-FGUJ,C-GUJ
C0124E,C-FGYF,C-GYF
C01264,C-FGZB,C-GZB
C01388,C-FHKH,C-HKH
C013FA,C-FHOR,C-HOR
C01736,C-FIUN,C-IUN
C0188E,C-FJHT,C-JHT
C018A2,C-FJIN,C-JIN
C01A3D,C-FJYI,C-JYI
C01A73,C-FKAK,C-KAK
C01AF8,C-FKFN,C-KFN
C01B4B,C-FKIS,C-KIS
C01C3B,C-FKRY,C-KRY
C01C97,C-FKVM,C-KVM
C01D21,C-FLAU,C-LAU
C01D3A,C-FLBT,C-LBT
C01EF1,C-FLSQ,C-LSQ
C01FA5,C-FLZO,C-LZO
C01FD3,C-FMBI,C-MBI
C020E6,C-FMLX,C-MLX
C02170,C-FMRF,C-MRF
C022EE,C-FNFX,C-NFX
C0241D,C-FNRO,C-NRO
C02590,C-FOFV,C-OFV
C0265B,C-FONQ,C-ONQ
C02742,C-FOWN,C-OWN
C02840,C-FPGH,C-PGH
C02868,C-FPHV,C-PHV
C02936,C-FPPT,C-PPT
C02959,C-FPRC,C-PRC
C029D6,C-FPVX,C-PVX
C02A1B,C-FPYO,C-PYO
C02A85,C-FQCQ,C-QCQ
C02AB5,C-FQEM,C-QEM
C02B2B,C-FQJA,C-QJA
C02BF4,C-FQQT,C-QQT
C02F96,C-FSAN,C-SAN
C03085,C-FSJS,C-SJS
C03155,C-FSRS,C-SRS
C03430,C-FTTV,C-TTV
C03578,C-FUGL,C-UGL
C036A4,C-FURZ,C-URZ
C0371D,C-FUWQ,C-UWQ
C0382E,C-FVHD,C-VHD
C039F6,C-FVYR,C-VYR
C03B4E,C-FWLX,C-WLX
C03C75,C-FWXG,C-WXG
C03D30,C-FXEL,C-XEL
C03D3F,C-FXFA,C-XFA
C03F03,C-FXWK,C-XWK
C040F9,C-FYPS,C-YPS
C04281,C-FZEU,C-ZEU
C042F9,C-FZJK,C-ZJK
C000C3,C-FAHM,C-AHM
C002CE,C-FBBP,C-BBP
C00341,C-FBGA,C-BGA
C00471,C-FBRS,C-BRS
C005C1,C-FCEQ,C-CEQ
C006BC,C-FCOH,C-COH
C006FB,C-FCQS,C-CQS
C0077C,C-FCVR,C-CVR
C00BBC,C-FELN,C-ELN
C00C62,C-FERX,C-ERX
C00CC0,C-FEVN,C-EVN
C00EB8,C-FFOX,C-FOX
C010A3,C-FGHU,C-GHU
C06A80,C-GO_IP,C-GOIP
C011E3,C-FGUC,C-GUC
C0125F,C-FGYW,C-GYW
C01290,C-FHAT,C-HAT
C0195C,C-FJPR,C-JPR
C01BB3,C-FKMS,C-KMS
C01C92,C-FKVH,C-KVH
C01D2B,C-FLBE,C-LBE
C01EC1,C-FLQU,C-LQU
C020D0,C-FMLB,C-MLB
C022E7,C-FNFQ,C-NFQ
C023DB,C-FNPA,C-NPA
C0241A,C-FNRL,C-NRL
C02620,C-FOLJ,C-OLJ
C02671,C-FOOM,C-OOM
C02741,C-FOWM,C-OWM
C02806,C-FPEB,C-PEB
C0292A,C-FPPH,C-PPH
C02B3D,C-FQJS,C-QJS
C02B40,C-FQJV,C-QJV
C02C8D,C-FQWQ,C-QWQ
C02CFF,C-FRBA,C-RBA
C02F19,C-FRVS,C-RVS
C02F93,C-FSAK,C-SAK
C02FE8,C-FSDR,C-SDR
C033DA,C-FTQN,C-TQN
C03670,C-FUPZ,C-UPZ
C03836,C-FVHL,C-VHL
C03940,C-FVRR,C-VRR
C03941,C-FVRS,C-VRS
C0399C,C-FVVF,C-VVF
C03B45,C-FWLO,C-WLO
C03B58,C-FWMH,C-WMH
C03B91,C-FWOM,C-WOM
C03DBE,C-FXJX,C-XJX
C03DD1,C-FXKQ,C-XKQ
C03EE5,C-FXVG,C-XVG
C04120,C-FYRF,C-YRF
C043AD,C-FZQI,C-ZQI
C0000D,C-FAAM,C-AAM
C000E3,C-FAIS,C-AIS
C00292,C-FAZH,C-AZH
C002A0,C-FAZV,C-AZV
C00418,C-FBOH,C-BOH
C0053A,C-FBZL,C-BZL
C0085C,C-FDEH,C-DEH
C00981,C-FDPO,C-DPO
C009B8,C-FDRR,C-DRR
C00BD3,C-FEMK,C-EMK
C00BDB,C-FEMS,C-EMS
C00BEA,C-FENH,C-ENH
C00C63,C-FERY,C-ERY
C00C7D,C-FESY,C-ESY
C00D23,C-FEZI,C-EZI
C00D9E,C-FFEB,C-FEB
C00DBF,C-FFFI,C-FFI
C00F35,C-FFTS,C-FTS
C0101E,C-FGCR,C-GCR
C01038,C-FGDR,C-GDR
C01110,C-FGLZ,C-GLZ
C0119C,C-FGRJ,C-GRJ
C01285,C-FHAI,C-HAI
C0137C,C-FHJV,C-HJV
C013EA,C-FHOB,C-HOB
C014D5,C-FHXC,C-HXC
C017F9,C-FJCA,C-JCA
C018AD,C-FJIY,C-JIY
C019E5,C-FJUY,C-JUY
C01A3B,C-FJYG,C-JYG
C01B7C,C-FKKP,C-KKP
C01C0D,C-FKQE,C-KQE
C01D85,C-FLEQ,C-LEQ
C01DBE,C-FLGV,C-LGV
C01DCF,C-FLHM,C-LHM
C01DDB,C-FLHY,C-LHY
C01E6A,C-FLNL,C-LNL
C01FB4,C-FMAD,C-MAD
C021DE,C-FMVL,C-MVL
C021F1,C-FMWE,C-MWE
C022B4,C-FNDR,C-NDR
C02424,C-FNRV,C-NRV
C024E0,C-FNZB,C-NZB
C024E9,C-FNZK,C-NZK
C026AC,C-FOQT,C-OQT
C027C4,C-FPBN,C-PBN
C02B0B,C-FQHU,C-QHU
C02B5F,C-FQLA,C-QLA
C02C79,C-FQVW,C-QVW
C02D09,C-FRBK,C-RBK
C02F53,C-FRXY,C-RXY
C0300F,C-FSFE,C-SFE
C03232,C-FTAF,C-TAF
C03423,C-FTTI,C-TTI
C037CC,C-FVDJ,C-VDJ
C037D6,C-FVDT,C-VDT
C0392C,C-FVQX,C-VQX
C0393C,CF-VRN,C-VRN
C03A5D,C-FWCQ,C-WCQ
C03AA6,C-FWFL,C-WFL
C03AC6,C-FWGR,C-WGR
C03B73,C-FWNI,C-WNI
C03C01,C-FWSU,C-WSU
C03CF8,C-FXCH,C-XCH
C03F21,C-FXXO,C-XXO
C0427B,C-FZEO,C-ZEO
C04430,C-FZVJ,C-ZVJ
C001B1,C-FAQQ,C-AQQ
C001FF,C-FATQ,C-ATQ
C00309,C-FBDW,C-BDW
C004A2,C-FBTP,C-BTP
C00580,C-FCCD,C-CCD
C0077A,C-FCVP,C-CVP
C009AB,C-FDRE,C-DRE
C00B50,C-FEHJ,C-EHJ
C00C1C,C-FEPF,C-EPF
C00D50,C-FFBB,C-FBB
C00DC2,C-FFFL,C-FFL
C00DED,C-FFHC,C-FHC
C00F1E,C-FFSV,C-FSV
C01001,C-FGBO,C-GBO
C0104E,C-FGEN,C-GEN
C050C0,C050C0,C-GEPB
C0105F,C-FGFE,C-GFE
C01128,C-FGMX,C-GMX
C012A0,C-FHBJ,C-HBJ
C012CD,C-FHDC,C-HDC
C01301,C-FHFC,C-HFC
C014F6,C-FHYJ,C-HYJ
C01537,C-FIAW,C-IAW
C01578,C-FIDJ,C-IDJ
C017BE,C-FIZT,C-IZT
C017CA,C-FJAF,C-JAF
C01826,C-FJDT,C-JDT
C018A4,C-FJIP,C-JIP
C018AC,C-FJIX,C-JIX
C01A57,C-FJZI,C-JZI
C01ACB,C-FKDU,C-KDU
C01AD0,C-FKDZ,C-KDZ
C01B85,C-FKKY,C-KKY
C01BEE,C-FKOZ,C-KOZ
C01C38,C-FKRV,C-KRV
C01C78,C-FKUH,C-KUH
C01CA0,C-FKVV,C-KVV
C01CC2,C-FKXD,C-KXD
C01DA8,C-FLFZ,C-LFZ
C01F67,C-FLXE,C-LXE
C0207A,C-FMHT,C-MHT
C020AA,C-FMJP,C-MJP
C02199,C-FMSU,C-MSU
C021E6,C-FMVT,C-MVT
C0231B,C-FNHQ,C-NHQ
C02558,C-FODR,C-ODR
C02675,C-FOOQ,C-OOQ
C026B3,C-FORA,C-ORA
C026D7,C-FOSK,C-OSK
C028F1,C-FPNC,C-PNC
C0295C,C-FPRF,C-PRF
C0297C,C-FPSL,C-PSL
C029D3,C-FPVU,C-PVU
C02DFA,C-FRKR,C-RKR
C02F9A,C-FSAR,C-SAR
C030BC,C-FSLV,C-SLV
C030E0,C-FSNF,C-SNF
C0312D,C-FSQE,C-SQE
C03167,C-FSSK,C-SSK
C0318A,C-FSTT,C-STT
C0324E,C-FTBH,C-TBH
C034C7,C-FTZQ,C-TZQ
C034E0,C-FUAP,C-UAP
C0372D,C-FUXG,C-UXG
C037B5,C-FVCM,C-VCM
C0384A,C-FVIF,C-VIF
C03907,C-FVPM,C-VPM
C03963,C-FVTA,C-VTA
C039B9,C-FVWI,C-VWI
C03A10,C-FVZR,C-VZR
C03A4B,C-FWBY,C-WBY
C03D0D,C-FXDC,C-XDC
C03F5C,C-FXZV,C-XZV
C04207,C-FZAC,C-ZAC
C04230,C-FZBR,C-ZBR
C0426E,C-FZEB,C-ZEB
C04296,C-FZFP,C-ZFP
C04458,C-FZWX,C-ZWX
C044A2,C-FZZT,C-ZZT
C002A5,C-FBAA,C-BAA
C0034D,C-FBGM,C-BGM
C003F5,C-FBMY,C-BMY
C0043C,C-FBPR,C-BPR
C00441,C-FBPW,C-BPW
C00604,C-FCHF,C-CHF
C00726,C-FCSJ,C-CSJ
C008CA,C-FDIN,C-DIN
C009C1,C-FDSA,C-DSA
C00B65,C-FEIE,C-EIE
C00BE6,C-FEND,C-END
C00D80,C-FFCX,C-FCX
C00D8B,C-FFDI,C-FDI
C00DD6,C-FFGF,C-FGF
C01083,C-FGGO,C-GGO
C0108B,C-FGGW,C-GGW
C011FC,C-FGVB,C-GVB
C01281,C-FHAE,C-HAE
C012E1,C-FHDW,C-HDW
C01495,C-FHUQ,C-HUQ
C0152D,C-FIAM,C-IAM
C0184D,C-FJFG,C-JFG
C0184F,C-FJFI,C-JFI
C018F0,C-FJLN,C-JLN
C0197F,C-FJRA,C-JRA
C01D9D,C-FLFO,C-LFO
C01F85,C-FLYI,C-LYI
C01FC3,C-FMAS,C-MAS
C01FFF,C-FMDA,C-MDA
C020D5,C-FMLG,C-MLG
C02122,C-FMOF,C-MOF
C02274,C-FNBF,C-NBF
C022A6,C-FNDD,C-NDD
C0263F,C-FOMO,C-OMO
C02642,C-FOMR,C-OMR
C02667,C-FOOC,C-OOC
C0274C,C-FOWX,C-OWX
C02755,C-FOXG,C-OXG
C028C6,C-FPLL,C-PLL
C02914,C-FPOL,C-POL
C02995,C-FPTK,C-PTK
C02B6F,C-FQLQ,C-QLQ
C02D04,C-FRBF,C-RBF
C02F3E,C-FRXD,C-RXD
C02F90,C-FSAH,C-SAH
C031BE,C-FSVT,C-SVT
C03222,C-FSZP,C-SZP
C03404,C-FTSD,C-TSD
C03425,C-FTTK,C-TTK
C034A0,C-FTYD,C-TYD
C03560,C-FUFN,C-UFN
C03567,C-FUFU,C-UFU
C03698,C-FURN,C-URN
C036D4,C-FUTV,C-UTV
C037EB,C-FVEO,C-VEO
C038AF,C-FVMC,C-VMC
C038F4,C-FVOT,C-VOT
C038FE,C-FVPD,C-VPD
C039DE,C-FVXT,C-VXT
C03F93,C-FYBY,C-YBY
C04112,C-FYQR,C-YQR
C0422F,C-FZBQ,C-ZBQ
C04242,C-FZCJ,C-ZCJ
C04308,C-FZJZ,C-ZJZ
C00135,C-FALW,C-ALW
C0021B,C-FAUS,C-AUS
C002A7,C-FBAC,C-BAC
C002B6,C-FBAR,C-BAR
C00744,C-FCTN,C-CTN
C0085F,C-FDEK,C-DEK
C0093B,C-FDMW,C-DMW
C00BC1,C-FELS,C-ELS
C00C3C,C-FEQL,C-EQL
C00D4A,C-FFAV,C-FAV
C00D5D,C-FFBO,C-FBO
C00DE2,C-FFGR,C-FGR
C00E03,C-FFHY,C-FHY
C00EFF,C-FFRQ,C-FRQ
C00F64,C-FFVN,C-FVN
C0119D,C-FGRK,C-GRK
C012D9,C-FHDO,C-HDO
C01629,C-FIKE,C-IKE
C016C4,C-FIQD,C-IQD
C01886,C-FJHL,C-JHL
C01AAF,C-FKCS,C-KCS
C01B0B,C-FKGG,C-KGG
C01B46,C-FKIN,C-KIN
C01B4C,C-FKIT,C-KIT
C01C56,C-FKSZ,C-KSZ
C01C69,C-FKTS,C-KTS
C01CD4,C-FKXV,C-KXV
C01D3E,C-FLBX,C-LBX
C01E53,C-FLMO,C-LMO
C01F0A,C-FLTP,C-LTP
C0209E,C-FMJD,C-MJD
C021C3,C-FMUK,C-MUK
C02453,C-FNTQ,C-NTQ
C025F0,C-FOJN,C-OJN
C02895,C-FPJO,C-PJO
C02AE9,C-FQGM,C-QGM
C02B9F,C-FQNM,C-QNM
C02D64,C-FREX,C-REX
C030B7,C-FSLQ,C-SLQ
C030C6,C-FSMF,C-SMF
C03251,C-FTBK,C-TBK
C03255,C-FTBO,C-TBO
C035A4,C-FUID,C-UID
C035B8,C-FUIX,C-UIX
C0361C,C-FUMT,C-UMT
C03758,C-FUYX,C-UYX
C03792,C-FVBD,C-VBD
C038B6,C-FVMJ,C-VMJ
C03ABF,C-FWGK,C-WGK
C03B24,C-FWKH,C-WKH
C03B33,C-FWKW,C-WKW
C03D4B,C-FXFM,C-XFM
C03DD4,C-FXKT,C-XKT
C03E60,C-FXQD,C-XQD
C04054,C-FYJJ,C-YJJ
C003B9,C-FBKQ,C-BKQ
C00408,C-FBNR,C-BNR
C00536,C-FBZH,C-BZH
C005D0,C-FCFF,C-CFF
C005DF,C-FCFU,C-CFU
C005FF,C-FCHA,C-CHA
C00620,C-FCIH,C-CIH
C0076F,C-FCVE,C-CVE
C007C6,C-FCYN,C-CYN
C00859,C-FDEE,C-DEE
C009BB,C-FDRU,C-DRU
C00DF4,C-FFHJ,C-FHJ
C00E5D,C-FFLK,C-FLK
C01039,C-FGDS,C-GDS
C01052,C-FGER,C-GER
C01072,C-FGFX,C-GFX
C010F5,C-FGKY,C-GKY
C0112F,C-FGNE,C-GNE
C01452,C-FHSB,C-HSB
C0156A,C-FICV,C-ICV
C0172A,C-FIUB,C-IUB
C018C3,C-FJJU,C-JJU
C019AA,C-FJSR,C-JSR
C01BBE,C-FKND,C-KND
C01BC4,C-FKNJ,C-KNJ
C01C14,C-FKQL,C-KQL
C01DE6,C-FLIJ,C-LIJ
C01E0F,C-FLJY,C-LJY
C01E8C,C-FLOT,C-LOT
C021F5,C-FMWI,C-MWI
C022D8,C-FNFB,C-NFB
C0254B,C-FODE,C-ODE
C025A9,C-FOGU,C-OGU
C0280F,C-FPEK,C-PEK
C02888,C-FPJB,C-PJB
C0293A,C-FPPX,C-PPX
C029BC,C-FPUX,C-PUX
C02AA2,C-FQDT,C-QDT
C02B60,C-FQLB,C-QLB
C02C9B,C-FQXE,C-QXE
C02CD4,C-FQZJ,C-QZJ
C02D80,C-FRFZ,C-RFZ
C02DD8,C-FRJJ,C-RJJ
C02DE2,C-FRJT,C-RJT
C02E4B,C-FRNU,C-RNU
C02E71,C-FRPG,C-RPG
C02EEE,C-FRUB,C-RUB
C02FF2,C-FSEB,C-SEB
C03039,C-FSGU,C-SGU
C031EB,C-FSXM,C-SXM
C03288,C-FTDN,C-TDN
C03339,C-FTKI,C-TKI
C03596,C-FUHP,C-UHP
C035DD,C-FUKI,C-UKI
C036E6,C-FUUN,C-UUN
C03847,C-FVIC,C-VIC
C0395F,C-FVSW,C-VSW
C03BCA,C-FWQR,C-WQR
C03C21,C-FWUA,C-WUA
C03C53,C-FWVY,C-WVY
C03C66,C-FWWR,C-WWR
C03D41,C-FXFC,C-XFC
C03E6D,C-FXQQ,C-XQQ
C03EB8,C-FXTN,C-XTN
C03ED0,C-FXUL,C-XUL
C03F8E,C-FYBT,C-YBT
C0436E,C-FZNX,C-ZNX
C00138,C-FALZ,C-ALZ
C002A4,C-FAZZ,C-AZZ
C004C3,C-FBUW,C-BUW
C0073F,C-FCTI,C-CTI
C007BB,C-FCYC,C-CYC
C00850,C-FDDV,C-DDV
C0090A,C-FDKZ,C-DKZ
C0097A,C-FDPH,C-DPH
C00ACB,C-FECG,C-ECG
C00B02,C-FEEJ,C-EEJ
C00B6A,C-FEIJ,C-EIJ
C00CD2,C-FEWF,C-EWF
C00E95,C-FFNO,C-FNO
C00ED2,C-FFPX,C-FPX
C00EFD,C-FFRO,C-FRO
C01277,C-FGZU,C-GZU
C0127F,C-FHAC,C-HAC
C013FC,C-FHOT,C-HOT
C01436,C-FHQZ,C-HQZ
C0151D,C-FHZW,C-HZW
C01591,C-FIEI,C-IEI
C015BA,C-FIFX,C-IFX
C01885,C-FJHK,C-JHK
C01887,C-FJHM,C-JHM
C019EC,C-FJVF,C-JVF
C01CF6,C-FKZD,C-KZD
C01D05,C-FKZS,C-KZS
C01F0F,C-FLTU,C-LTU
C0212A,C-FMON,C-MON
C0216A,C-FMQZ,C-MQZ
C022C7,C-FNEK,C-NEK
C024F9,C-FOAA,C-OAA
C026C2,C-FORP,C-ORP
C026E1,C-FOSU,C-OSU
C0280D,C-FPEI,C-PEI
C0283F,C-FPGG,C-PGG
C02BDD,C-FQPW,C-QPW
C02D36,C-FRDD,C-RDD
C02D71,C-FRFK,C-RFK
C02DDB,C-FRJM,C-RJM
C030A9,C-FSLC,C-SLC
C030D3,C-FSMS,C-SMS
C034E4,C-FUAT,C-UAT
C0350E,C-FUCJ,C-UCJ
C03546,C-FUEN,C-UEN
C036AF,C-FUSK,C-USK
C0377A,C-FVAF,C-VAF
C0385A,C-FVIV,C-VIV
C038AD,C-FVMA,C-VMA
C039AB,C-FVVU,C-VVU
C03B99,C-FWOU,C-WOU
C03BEE,C-FWSB,C-WSB
C03C58,C-FWWD,C-WWD
C03CCF,C-FXAS,C-XAS
C03EF5,C-FXVW,C-XVW
C03F2F,C-FXYC,C-XYC
C04013,C-FYGW,C-YGW
C0426F,C-FZEC,C-ZEC
C042A6,C-FZGF,C-ZGF
C043D8,C-FZRZ,C-ZRZ
C0444A,C-FZWJ,C-ZWJ
C0011D,C-FAKY,C-AKY
C00330,C-FBFJ,C-BFJ
C00461,C-FBRC,C-BRC
C00567,C-FCBE,C-CBE
C0061D,C-FCIE,C-CIE
C00740,C-FCTJ,C-CTJ
C00770,C-FCVF,C-CVF
C00A61,C-FDYE,C-DYE
C00A90,C-FDZZ,C-DZZ
C00B32,C-FEGF,C-EGF
C00B6B,C-FEIK,C-EIK
C00EA3,C-FFOC,C-FOC
C01081,C-FGGM,C-GGM
C010AE,C-FGIF,C-GIF
C01142,C-FGNX,C-GNX
C011BA,C-FGSN,C-GSN
C01488,C-FHUD,C-HUD
C014EB,C-FHXY,C-HXY
C0153C,C-FIBB,C-IBB
C01559,C-FICE,C-ICE
C016C5,C-FIQE,C-IQE
C01877,C-FJGW,C-JGW
C01888,C-FJHN,C-JHN
C018D2,C-FJKJ,C-JKJ
C019DD,C-FJUQ,C-JUQ
C01A93,C-FKBQ,C-KBQ
C01B8E,C-FKLH,C-KLH
C01BDC,C-FKOH,C-KOH
C01C55,C-FKSY,C-KSY
C01DBD,C-FLGU,C-LGU
C0231D,C-FNHS,C-NHS
C02377,C-FNLE,C-NLE
C0245A,C-FNTX,C-NTX
C0259A,C-FOGF,C-OGF
C0265C,C-FONR,C-ONR
C0279C,C-FOZZ,C-OZZ
C028B4,C-FPKT,C-PKT
C028D6,C-FPMB,C-PMB
C02A42,C-FQAB,C-QAB
C02C06,C-FQRL,C-QRL
C02D69,C-FRFC,C-RFC
C02E1C,C-FRLZ,C-RLZ
C02EEC,C-FRTZ,C-RTZ
C03040,C-FSHB,C-SHB
C030C3,C-FSMC,C-SMC
C031D1,C-FSWM,C-SWM
C033DC,C-FTQP,C-TQP
C035D1,C-FUJW,C-UJW
C037AE,C-FVCF,C-VCF
C03823,C-FVGS,C-VGS
C0388D,C-FVKU,C-VKU
C03990,C-FVUT,C-VUT
C039BC,C-FVWL,C-VWL
C03A9D,C-FWFC,C-WFC
C03AE8,C-FWHZ,C-WHZ
C03BD5,C-FWRC,C-WRC
C03BFD,C-FWSQ,C-WSQ
C03CA6,C-FWZD,C-WZD
C03E1F,C-FXNQ,C-XNQ
C03F5A,C-FXZT,C-XZT
C03FA6,C-FYCR,C-YCR
C0400B,C-FYGO,C-YGO
C04131,C-FYRW,C-YRW
C041D3,C-FYYC,C-YYC
C0438D,C-FZPC,C-ZPC
C04396,C-FZPL,C-ZPL
C001B0,C-FAQP,C-AQP
C0027B,C-FAYK,C-AYK
C00568,C-FCBF,C-CBF
C005CF,C-FCFE,C-CFE
C008B4,C-FDHR,C-DHR
C00985,C-FDPS,C-DPS
C00B03,C-FEEK,C-EEK
C00CAC,C-FEUT,C-EUT
C00D69,C-FFCA,C-FCA
C00DDB,C-FFGK,C-FGK
C00EAA,C-FFOJ,C-FOJ
C00F72,C-FFWB,C-FWB
C00FC2,C-FFZD,C-FZD
C00FDC,C-FGAD,C-GAD
C010BE,C-FGIV,C-GIV
C010D8,C-FGJV,C-GJV
C0120C,C-FGVR,C-GVR
C01279,C-FGZW,C-GZW
C01297,C-FHBA,C-HBA
C012DC,C-FHDR,C-HDR
C012F8,C-FHET,C-HET
C01367,C-FHJA,C-HJA
C0140C,C-FHPJ,C-HPJ
C0148D,C-FHUI,C-HUI
C015A1,C-FIEY,C-IEY
C015E5,C-FIHO,C-IHO
C018DF,C-FJKW,C-JKW
C01963,C-FJPY,C-JPY
C01B58,C-FKJF,C-KJF
C01B6B,C-FKJY,C-KJY
C01BE3,C-FKOO,C-KOO
C01C2F,C-FKRM,C-KRM
C01CCE,C-FKXP,C-KXP
C01E07,C-FLJQ,C-LJQ
C01E83,C-FLOK,C-LOK
C02036,C-FMFD,C-MFD
C0203C,C-FMFJ,C-MFJ
C020CF,C-FMLA,C-MLA
C02109,C-FMNG,C-MNG
C0227C,C-FNBN,C-NBN
C02819,C-FPEU,C-PEU
C02844,C-FPGL,C-PGL
C0299D,C-FPTS,C-PTS
C02ADD,C-FQGA,C-QGA
C02B75,C-FQLW,C-QLW
C02BFA,C-FQQZ,C-QQZ
C02E62,C-FROR,C-ROR
C02F32,C-FRWR,C-RWR
C03256,C-FTBP,C-TBP
C0326E,C-FTCN,C-TCN
C032B9,C-FTFK,C-TFK
C0336C,C-FTMH,C-TMH
C03401,C-FTSA,C-TSA
C03411,C-FTSQ,C-TSQ
C037B0,C-FVCH,C-VCH
C039EE,C-FVYJ,C-VYJ
C03A37,C-FWBE,C-WBE
C03ACC,C-FWGX,C-WGX
C03C45,C-FWVK,C-WVK
C03DBC,C-FXJV,C-XJV
C03EDB,C-FXUW,C-XUW
C03F6B,C-FYAK,C-YAK
C03FF2,C-FYFP,C-YFP
C0402E,C-FYHX,C-YHX
C043C7,C-FZRI,C-ZRI
C04475,C-FZYA,C-ZYA
C000E8,C-FAIX,C-AIX
C000F1,C-FAJG,C-AJG
C0022C,C-FAVJ,C-AVJ
C00276,C-FAYF,C-AYF
C00344,C-FBGD,C-BGD
C0051A,C-FBYF,C-BYF
C0091C,C-FDLR,C-DLR
C0098C,C-FDPZ,C-DPZ
C009CA,C-FDSJ,C-DSJ
C00A87,C-FDZQ,C-DZQ
C00B79,C-FEIY,C-EIY
C00C68,C-FESD,C-ESD
C00D5F,C-FFBQ,C-FBQ
C00E2C,C-FFJN,C-FJN
C00E88,C-FFNB,C-FNB
C00ED1,C-FFPW,C-FPW
C00F09,C-FFSA,C-FSA
C043B4,C-FZB4,C-FZQP
C050C4,C050C4,C-GEPF
C012B3,C-FHCC,C-HCC
C01325,C-FHGM,C-HGM
C01357,C-FHIK,C-HIK
C0142E,C-FHQR,C-HQR
C015E3,C-FIHM,C-IHM
C01700,C-FISL,C-ISL
C01926,C-FJNP,C-JNP
C01949,C-FJOY,C-JOY
C019F4,C-FJVN,C-JVN
C01A2D,C-FJXS,C-JXS
C01ABD,C-FKDG,C-KDG
C01B93,C-FKLM,C-KLM
C01E3C,C-FLLR,C-LLR
C01E76,C-FLNX,C-LNX
C01EE2,C-FLSB,C-LSB
C02124,C-FMOH,C-MOH
C02135,C-FMOY,C-MOY
C021E4,C-FMVR,C-MVR
C021FF,C-FMWS,C-MWS
C027E3,C-FPCS,C-PCS
C02805,C-FPEA,C-PEA
C0286E,C-FPIB,C-PIB
C028B1,C-FPKQ,C-PKQ
C028BE,C-FPLD,C-PLD
C02C39,C-FQTK,C-QTK
C02D29,C-FRCQ,C-RCQ
C02E74,C-FRPJ,C-RPJ
C0325B,C-FTBU,C-TBU
C032B5,C-FTFG,C-TFG
C0341B,C-FTTA,C-TTA
C0359D,C-FUHW,C-UHW
C037A6,C-FVBX,C-VBX
C03927,C-FVQS,C-VQS
C039FC,C-FVYX,C-VYX
C03A08,C-FVZJ,C-VZJ
C03B17,C-FWJU,C-WJU
C03C9B,C-FWYS,C-WYS
C03CB3,C-FWZQ,C-WZQ
C03EEF,C-FXVQ,C-XVQ
C04108,C-FYQH,C-YQH
C0413A,C-FYSF,C-YSF
C0437C,C-FZOL,C-ZOL
C04452,C-FZWR,C-ZWR
C0005B,C-FADM,C-ADM
C001B4,C-FAQT,C-AQT
C00311,C-FBEE,C-BEE
C0031A,C-FBEN,C-BEN
C0036F,C-FBHU,C-BHU
C00385,C-FBIQ,C-BIQ
C003B5,C-FBKM,C-BKM
C003F9,C-FBNC,C-BNC
C00412,C-FBOB,C-BOB
C00462,C-FBRD,C-BRD
C004C1,C-FBUU,C-BUU
C00517,C-FBYC,C-BYC
C00527,C-FBYS,C-BYS
C0063C,C-FCJJ,C-CJJ
C0084C,C-FDDR,C-DDR
C009BD,C-FDRW,C-DRW
C009FE,C-FDUJ,C-DUJ
C00AA0,C-FEAP,C-EAP
C00B0D,C-FEEU,C-EEU
C00B24,C-FEFR,C-EFR
C00BE7,C-FENE,C-ENE
C00ED5,C-FFQA,C-FQA
C00F9A,C-FFXP,C-FXP
C0125E,C-FGYV,C-GYV
C012C8,C-FHCX,C-HCX
C013C6,C-FHMR,C-HMR
C01550,C-FIBV,C-IBV
C015F4,C-FIID,C-IID
C01626,C-FIKB,C-IKB
C0173C,C-FIUT,C-IUT
C01793,C-FIYC,C-IYC
C018B2,C-FJJD,C-JJD
C0191B,C-FJNE,C-JNE
C01928,C-FJNR,C-JNR
C01950,C-FJPF,C-JPF
C01965,C-FJQA,C-JQA
C01A0A,C-FJWJ,C-JWJ
C01A1D,C-FJXC,C-JXC
C01A5F,C-FJZQ,C-JZQ
C01B35,C-FKHW,C-KHW
C01CFF,C-FKZM,C-KZM
C01D02,C-FKZP,C-KZP
C01D46,C-FLCF,C-LCF
C01F44,C-FLVV,C-LVV
C022D2,C-FNEV,C-NEV
C02329,C-FNIE,C-NIE
C02439,C-FNSQ,C-NSQ
C0257D,C-FOFC,C-OFC
C02700,C-FOTZ,C-OTZ
C02A17,C-FPYK,C-PYK
C02B88,C-FQMP,C-QMP
